Date,Commodity No,Commodity ,UN code ,Country Name,Import Value (BD),Import Value (USA $),Import Weight (KG),Import Quantity,UM
11/1/2020,85061010,"DRY CELLS (BATTERIES) MANGANESE DIOXIDE FOR THE PORTABLE EQUIPMENT,1.5 VOLT AND OVER MANGANESE DIOXIDE",MY,MALAYSIA,422.003991,1122.35104,80,576,NO
11/1/2020,85061010,"DRY CELLS (BATTERIES) MANGANESE DIOXIDE FOR THE PORTABLE EQUIPMENT,1.5 VOLT AND OVER MANGANESE DIOXIDE",US,UNITED STATES OF AMERICA,6030.907777,16039.64834,312.68,10300,NO
11/1/2020,85061090,OTHER BATTERIES MENGANESE DIOXIDE,FR,FRANCE,3440.724932,9150.864181,438,9,NO
11/1/2020,85064090,OTHER DRY CELLS BATTERIES SOLVER OXIDE,GB,UNITED KINGDOM,145.2743255,386.3678869,3,3,NO
11/1/2020,85065010,"LITHIUM DRY CELLS (BATTERIES) FOR PORTABLE EQUIPMENT,1.5 VOLT AND OVER",ID,INDONESIA,203.594416,541.4745106,140,648,NO
11/1/2020,85065010,"LITHIUM DRY CELLS (BATTERIES) FOR PORTABLE EQUIPMENT,1.5 VOLT AND OVER",SG,SINGAPORE,1249.67849,3323.613005,525,2208,NO
11/1/2020,85065090,OTHER CELLS BATTERIES OF LITHIUM,PH,PHILIPPINES,137.6995074,366.222094,1,3,NO
11/1/2020,85066090,OTHER AIR-ZINC DRY CELLS (BATTERIES),DE,GERMANY,55.975421,148.8708005,0.5,420,NO
11/1/2020,85066090,OTHER AIR-ZINC DRY CELLS (BATTERIES),IN,INDIA,38.26076,101.7573404,36,2,NO
11/1/2020,85066090,OTHER AIR-ZINC DRY CELLS (BATTERIES),IT,ITALY,2.460865,6.544853723,25,1,NO
11/1/2020,85066090,OTHER AIR-ZINC DRY CELLS (BATTERIES),JP,JAPAN,56.175144,149.4019787,529,24,NO
11/1/2020,85066090,OTHER AIR-ZINC DRY CELLS (BATTERIES),MY,MALAYSIA,2.460865,6.544853723,25,1,NO
11/1/2020,85068010,"DRY CELLS(BATTERIES) FOR PORTABLE EQUIPMENT,1.5 VOLT AND OVER",US,UNITED STATES OF AMERICA,65.29495729,173.6568013,11.662,1,NO
11/1/2020,85068090,OTHER DRY CELLS BATTERIES,CN,CHINA,1522.963957,4050.436057,1148.083,2265,NO
11/1/2020,85068090,OTHER DRY CELLS BATTERIES,US,UNITED STATES OF AMERICA,708.6414468,1884.684699,109.47,5,NO
11/1/2020,85071000,LEAD-ACID ELECTRIC ACCUMULATORS FOR PISTON ENGINES,CN,CHINA,13333.3832,35461.12553,22515.85,1700,NO
11/1/2020,85071000,LEAD-ACID ELECTRIC ACCUMULATORS FOR PISTON ENGINES,DE,GERMANY,11291.50217,30030.59086,3701.506,141,NO
11/1/2020,85071000,LEAD-ACID ELECTRIC ACCUMULATORS FOR PISTON ENGINES,TH,THAILAND,1084.243483,2883.626285,15,150,NO
11/1/2020,85071000,LEAD-ACID ELECTRIC ACCUMULATORS FOR PISTON ENGINES,TW,TAIWAN,1079.610441,2871.304364,85.42,126.72,NO
11/1/2020,85072000,OTHER LEAD-ACID ACCUMULATORS,CN,CHINA,15807.93729,42042.38642,6741.026,156,NO
11/1/2020,85072000,OTHER LEAD-ACID ACCUMULATORS,PH,PHILIPPINES,25623.36768,68147.25447,6551.344,246,NO
11/1/2020,85072000,OTHER LEAD-ACID ACCUMULATORS,TW,TAIWAN,821.7411138,2185.481686,27.596,2,NO
11/1/2020,85072000,OTHER LEAD-ACID ACCUMULATORS,VN,VIETNAM,4694.84116,12486.27968,4290,200,NO
11/1/2020,85073000,NICKEL-CADMIUM ELECTRIC ACCUMULATORS,CN,CHINA,430.4735973,1144.876589,250,590,NO
11/1/2020,85073000,NICKEL-CADMIUM ELECTRIC ACCUMULATORS,FR,FRANCE,50379.22783,133987.3081,5463,8,NO
11/1/2020,85073000,NICKEL-CADMIUM ELECTRIC ACCUMULATORS,ID,INDONESIA,29.3654532,78.09960957,1,50,NO
11/1/2020,85073000,NICKEL-CADMIUM ELECTRIC ACCUMULATORS,IN,INDIA,281.875925,749.6700133,460,31,NO
